ctr,users,p
0.0,961,0.014040880732872608
0.65,4,5.844279181216487e-05
0.71,5,7.305348976520609e-05
0.49,8,0.00011688558362432973
0.54,43,0.0006282600119807723
0.23,2901,0.04238563476177257
0.18,3429,0.050100083280978334
0.72,5,7.305348976520609e-05
0.28,1750,0.02556872141782213
0.78,1,1.4610697953041217e-05
0.07,900,0.013149628157737096
0.5,356,0.005201408471282673
0.51,31,0.00045293163654427774
0.33,1573,0.022982627880133832
0.38,548,0.008006662478266587
0.7,3,4.383209385912365e-05
0.05,606,0.008854082959542977
0.2,4125,0.06026912905629502
0.37,524,0.007656005727393597
0.8,1,1.4610697953041217e-05
0.48,52,0.0007597562935581433
0.12,2182,0.031880542933535934
0.03,131,0.0019140014318483993
0.45,168,0.0024545972561109243
0.62,17,0.0002483818652017007
0.69,3,4.383209385912365e-05
0.68,1,1.4610697953041217e-05
0.17,3222,0.0470756688046988
0.58,31,0.00045293163654427774
0.01,2,2.9221395906082434e-05
0.04,204,0.002980582382420408
0.16,3405,0.04974942653010534
0.64,16,0.00023377116724865947
0.42,351,0.005128354981517467
0.26,2280,0.033312391332933976
0.3,1675,0.024472919071344038
0.22,2838,0.041465160790730975
0.88,1,1.4610697953041217e-05
0.47,124,0.001811726546177111
0.41,418,0.006107271744371229
0.27,1813,0.026489195388863726
0.09,1058,0.015458118434317608
0.36,668,0.009759946232631532
0.46,198,0.002892918194702161
0.55,44,0.0006428707099338136
0.56,23,0.000336046052919948
0.14,2660,0.03886445655508964
0.61,19,0.00027760326110778315
0.25,3246,0.04742632555557179
0.39,188,0.002746811215171749
0.43,189,0.0027614219131247898
0.66,25,0.00036526744882603044
0.53,82,0.0011980772321493799
0.19,2061,0.030112648481217946
0.35,904,0.01320807094954926
0.76,1,1.4610697953041217e-05
0.75,4,5.844279181216487e-05
0.1,1610,0.02352322370439636
0.4,615,0.008985579241120348
0.57,37,0.000540595824262525
0.24,1444,0.021097847844191518
0.06,716,0.01046125973437751
0.31,1256,0.018351036629019768
0.63,18,0.0002629925631547419
0.34,589,0.008605701094341276
0.29,1311,0.019154625016437034
0.02,36,0.0005259851263094838
0.08,928,0.01355872770042225
0.32,725,0.010592756015954882
0.21,3194,0.046666569262013645
0.83,2,2.9221395906082434e-05
0.13,2428,0.03547477462998407
0.52,70,0.001022748856712885
0.15,3172,0.04634513390704674
0.44,217,0.003170521455809944
0.6,32,0.00046754233449731894
0.11,1965,0.02871002147772599
